日付,ライブタイトル,会場名
2024-07-27,IDOORLOVES -SUMMER TOUR 2024- 大阪編,心斎橋ANIMA
2024-07-27,天女神樂酒呑紫 生誕祭2024,心斎橋SOMA
2024-07-28,PIEN presents PassAge Point in NAGOYA Vol.1,新栄バーニーズ
2024-07-28,IDOORLOVES -SUMMER TOUR 2024- 名古屋編,新栄シャングリラ
2024-07-30,シンデレラ裁判　のあ生誕祭,心斎橋VARON
2024-07-31,chemical reaction Vol.28,梅田zeela
2024-08-02,為虎傅翼ーイコフヨクー husky6周年 パーチー,心斎橋VARON
2024-08-03,ON NANO CALL,心斎橋 Music Club JANUS
2024-08-04,シンデレラ裁判　Summer,西九条ブランニュー
2024-08-06,chemical reaction Vol.29,心斎橋VARON
2024-08-06,huskyインストアイベント,心斎橋 BIG STEP 大階段イベントスペース
2024-08-07,「乱」,Fanj twice
2024-08-09,UZMK PRESENTS,アメリカ村DROP
2024-08-10,husky のどか Birthday Live2024,心斎橋VARON
2024-08-10,大阪症候群,心斎橋CLAPPER
2024-08-11,ガラチア主催ワルプルギス(19),CLAPPER
2024-08-11,推し事.LiveDX,GRAFFY HALL
2024-08-12,風神・雷神　Summer vacation,福島2nd LINE
2024-08-15,AFTER DARK FEST,BIGCAT
2024-08-17,ガラチア主催ワルプルギス(20),西九条BLAND NEW
2024-08-17,SPRISE Pre NEO TRIP SUN,TEMPO HARBOR THEATER
2024-08-18,NEW AGE -OSAKA EMPIRE-,BIG CAT
2024-08-19,おおさかともだちなかよし,大阪CONPASS
2024-08-21,心斎橋VARON presents. Day Dreamer -4th night-,心斎橋VARON
2024-08-22,chemical reaction Vol.30,心斎橋VARON
2024-08-24,husky史上最大キャパシティ,GORILLA HALL OSAKA
2024-08-25,ゴリホワンマン後夜祭,西九条BLAND NEW
2024-08-28,シンデレラ裁判　Vol,5,心斎橋VARON
2024-08-31,川西愛菜 生誕祭,心斎橋Fanj twice
2024-09-01,推せ推せツアー東名阪 in大阪,梅田BANGBOO
2024-09-01,SUPER HYPER 2024 Summer,ANIMA
2024-09-03,DOLL ON TOP -心斎橋VARON 12th Anniversary-,心斎橋VARON
2024-09-05,「アイドル甲子園」,BIGCAT
2024-09-07,UP-T presents かがやきフェス2024,金沢AZ
2024-09-08,UP-T presents かがやきフェス2024,GOLD CREEK
2024-09-10,mistress presents「So long.」,梅田BananaHall
2024-09-11,husky confront the grow up Vol.4,心斎橋VARON
2024-09-14,ADDICT,神戸 太陽と虎
2024-09-15,深海の雨音 vol.20 -SPECIAL-,新高円寺LOFTX
2024-09-15,Fourty Five Donuts vol.2,新高円寺LOFTX
2024-09-16,IDOL FILE PRESENTS,四谷LOTUS
2024-09-16,DDDDiscovery iDol Depot,白金高輪SELENE b2
2024-09-19,chemical reaction Vol.31,心斎橋VARON
2024-09-20,BATTLE AROUND TOUR,神戸太陽と虎
2024-09-21,N.W.H.C.I vol.1,心斎橋VARON
2024-09-21,レゼル祭　リンゼ生誕前夜祭SP,心斎橋BEYOND
2024-09-22,シンデレラ裁判　リンゼ生誕祭SP,梅田 BANGBOO
2024-09-23,風神雷神　Liveの秋編,心斎橋VARON
2024-09-24,frecia ／ husky　2manインストア,ヨドバシカメラ マルチメディア梅田2階Links 広場
2024-09-26,chemical reaction Vol.32,心斎橋VARON
2024-09-28,BEARCLOW 零式 Chapter 01,梅田 BANGBOO
2024-09-29,GEM JAM FES！,FANJ twice
2024-10-01,husky 空良　生誕祭,心斎橋VARON
2024-10-05,渋谷でHASYAGE!!!!,duo MUSIC EXCHANGE
2024-10-05,Shinjuku HEIST 3rd Anniversary!!,Shinjuku HEIST
2024-10-06,為虎傅翼ーイコフヨクー　東京公演,新宿HEIST
2024-10-06,Fun!Fun!Fun!,青山RizM
2024-10-08,chemical reaction Vol.32,心斎橋VARON
2024-10-10,LAST birthday@ ガト生誕祭,アメリカ村BEYOND
2024-10-10,沖田彩華生誕祭〜一夜限りのシンデレラ,アメ村DROP
2024-10-11,SUNHALL presents.,SUNHALL
2024-10-12,BANGS POP UP STORE,ADDICT GALLERY
2024-10-12,リリイベ,ヨドバシカメラマルチメディア梅田B2F
2024-10-13,大阪造船所跡地音楽祭2024,名村造船所跡地(クリエイティブセンター大阪)
2024-10-14,｢姫路城下町アイドルフェスティバル｣,姫路駅北口駅前賑わい交流広場
2024-10-15,リリイベ,ヨドバシカメラマルチメディア梅田2F Links広場
2024-10-17,すごいバンド名にしたかった。7thあにばーさりーつあー,神戸 太陽と虎
2024-10-19,「UPPERCUT お披露目ライブ」,広島 ピースカフェ
2024-10-19,超SOUNDRIVE in SIX ONE,SIX ONE Live STAR
2024-10-20,｢ID COMPASS｣,YEBISU YA PRO
2024-10-22,Happy lovery Time,YOGIBO META VALLEY
2024-10-24,chemical reaction Vol.33,心斎橋VARON
2024-10-26,Le☆miel 6周年記念全国ツアー,LIVE HOUSE Rumio
2024-10-27,大阪造船所アイドルフェス,CCO クリエイティブセンター
2024-10-27,リリイベ,ヨドバシカメラマルチメディア梅田2F Links広場
2024-10-29,リリイベ,ヨドバシカメラマルチメディア梅田B2F
2024-10-30,ちくわﾁｬﾝ生誕祭ﾃﾞｽ,心斎橋VARON
2024-10-31,｢GORILLAZUN｣ DJ空良&ちくわ,GORILLA HALL OSAKA
2024-11-01,FREEEEEEESTYLE vol.8,FANJ twice
2024-11-03,FAVE ZONE,ヨドバシカメラマルチメディア梅田 Links広場2階
2024-11-03,EXEEEEED-OSAKA-,アメリカ村DROP
2024-11-04,SAKAI ASSAUL vol.5,堺東 Goith
2024-11-05,リリイベ,ヨドバシカメラマルチメディア梅田B2F
2024-11-07,chemical reaction Vol.34,心斎橋VARON
2024-11-09,ANTI KING,池袋SOUNDPEACE
2024-11-09,アイクル シモキタザワ 本祭,下北沢 ERA
2024-11-10,リリイベ,タワレコ渋谷 B1CUTUP STUDIO
2024-11-12,frecia ／ husky　2manインストア,ヨドバシカメラ マルチメディア梅田2階Links 広場
2024-11-13,chemical reaction Vol.35,心斎橋VARON
2024-11-16,リリイベ,  HMV&BOOKS HAKATA
2024-11-16,「YABAFUKU FES」,The Voodoo Lounge
2024-11-16,BTBR 7TH PARTY,The voodoo lounge
2024-11-17,BTBR 7TH CIRCUIT「Thank you」,LIVE HOUSE CB
2024-11-19,chemical reaction Vol.36,心斎橋VARON
2024-11-21,リリイベ,HMV&BOOKS SHINSAIBASHI
2024-11-23,｢しょんべんフェス｣,十三246GABU
2024-11-23,Synchro Sensation,福島2nd line
2024-11-24,SOUNDGARDEN2024,DIVA
2024-11-24,ライブ！ライブ！ライブ！,Dt.BLD 3F
2024-11-26,シンデレラ裁判,心斎橋VARON
2024-11-28,キリキリチャンスvol.34,心斎橋新神楽
2024-11-30,おちゃメンタル☆パーティー　山川さくら誕生祭2024 さくらの至幸3マン,CDCBOX
2024-12-01,MONSTER GIRLS POOL in 2024,アメリカ村DROP / 心斎橋BEYOND公演
2024-12-03,リリイベ,ヨドバシカメラマルチメディア梅田B2F
2024-12-04,chemical reaction Vol.37,心斎橋VARON
2024-12-07,MISA BIRTHDAY PRE FESTIVAL,NUMBER GATE
2024-12-07,「大阪でHASYAGE!!!!」,Pangea
2024-12-08,「名古屋でHASYAGE!!!!」,今池3STAR
2024-12-10,リリイベ,ヨドバシカメラマルチメディア梅田B2F
2024-12-12,chemical reaction Vol.38,心斎橋VARON
